Id,Code,Color,EUNIS1,EUNIS2,EUNIS3,EUNIS1_name,EUNIS2_name,EUNIS3_name,hexcolor,Label
0,0,"(167, 167, 167)",URBAN,,,,,,#a7a7a7,URBAN
1,100,"(255, 255, 255)",SEA,,,,,,#ffffff,SEA
2,200,"(2, 140, 140)",WATER_COURSES,,,,,,#028c8c,WATER_COURSES
3,300,"(49, 162, 162)",LAKES_RESERVOIRS,,,,,,#31a2a2,LAKES_RESERVOIRS
4,400,"(97, 185, 185)",TRANSITIONAL_WATERS,,,,,,#61b9b9,TRANSITIONAL_WATERS
5,1000,"(73, 88, 228)",MA2,,,Littoral biogenic habitats,,,#4958e4,MA2 - Littoral biogenic habitats
6,1100,"(73, 88, 228)",MA2,MA21,,Littoral biogenic habitats,Arctic littoral biogenic habitats,,#4958e4,MA21 - Arctic littoral biogenic habitats
7,1101,"(73, 88, 228)",MA2,MA21,MA211,Littoral biogenic habitats,Arctic littoral biogenic habitats,Arctic coastal saltmarsh,#4958e4,MA211 - Arctic coastal saltmarsh
8,1200,"(9, 81, 235)",MA2,MA22,,Littoral biogenic habitats,Atlantic littoral biogenic habitats,,#0951eb,MA22 - Atlantic littoral biogenic habitats
9,1201,"(9, 81, 235)",MA2,MA22,MA221,Littoral biogenic habitats,Atlantic littoral biogenic habitats,Atlantic saltmarsh driftline,#0951eb,MA221 - Atlantic saltmarsh driftline
10,1202,"(9, 81, 235)",MA2,MA22,MA222,Littoral biogenic habitats,Atlantic littoral biogenic habitats,Atlantic upper saltmarsh,#0951eb,MA222 - Atlantic upper saltmarsh
11,1203,"(9, 81, 235)",MA2,MA22,MA223,Littoral biogenic habitats,Atlantic littoral biogenic habitats,"Atlantic upper-mid saltmarsh and saline and brackish reed, rush and sedge bed",#0951eb,"MA223 - Atlantic upper-mid saltmarsh and saline and brackish reed, rush and sedge bed"
12,1204,"(9, 81, 235)",MA2,MA22,MA224,Littoral biogenic habitats,Atlantic littoral biogenic habitats,Atlantic mid-low saltmarsh,#0951eb,MA224 - Atlantic mid-low saltmarsh
13,1205,"(9, 81, 235)",MA2,MA22,MA225,Littoral biogenic habitats,Atlantic littoral biogenic habitats,Atlantic pioneer saltmarsh,#0951eb,MA225 - Atlantic pioneer saltmarsh
14,1300,"(32, 39, 99)",MA2,MA23,,Littoral biogenic habitats,Baltic hydrolittoral biogenic habitats,,#202763,MA23 - Baltic hydrolittoral biogenic habitats
15,1302,"(32, 39, 99)",MA2,MA23,MA232,Littoral biogenic habitats,Baltic hydrolittoral biogenic habitats,Baltic coastal meadow,#202763,MA232 - Baltic coastal meadow
16,1400,"(8, 0, 251)",MA2,MA24,,Littoral biogenic habitats,Black Sea littoral biogenic habitats,,#0800fb,MA24 - Black Sea littoral biogenic habitats
17,1401,"(8, 0, 251)",MA2,MA24,MA241,Littoral biogenic habitats,Black Sea littoral biogenic habitats,Black Sea littoral saltmarsh,#0800fb,MA241 - Black Sea littoral saltmarsh
18,1500,"(20, 18, 88)",MA2,MA25,,Littoral biogenic habitats,Mediterranean littoral biogenic habitats,,#141258,MA25 - Mediterranean littoral biogenic habitats
19,1501,"(20, 18, 88)",MA2,MA25,MA251,Littoral biogenic habitats,Mediterranean littoral biogenic habitats,Mediterranean upper saltmarsh,#141258,MA251 - Mediterranean upper saltmarsh
20,1502,"(20, 18, 88)",MA2,MA25,MA252,Littoral biogenic habitats,Mediterranean littoral biogenic habitats,"Mediterranean upper-mid saltmarsh and saline and brackish reed, rush and sedge bed",#141258,"MA252 - Mediterranean upper-mid saltmarsh and saline and brackish reed, rush and sedge bed"
21,1503,"(20, 18, 88)",MA2,MA25,MA253,Littoral biogenic habitats,Mediterranean littoral biogenic habitats,Mediterranean mid-low saltmarsh,#141258,MA253 - Mediterranean mid-low saltmarsh
22,2000,"(128, 48, 90)",N,,,Coastal habitats,,,#80305a,N - Coastal habitats
23,2100,"(128, 48, 90)",N,N1,,Coastal habitats,Coastal dunes and sandy shores ,,#80305a,N1 - Coastal dunes and sandy shores 
24,2101,"(128, 48, 90)",N,N1,N11,Coastal habitats,Coastal dunes and sandy shores ,"Atlantic, Baltic and Arctic sand beach",#80305a,"N11 - Atlantic, Baltic and Arctic sand beach"
25,2102,"(128, 48, 90)",N,N1,N12,Coastal habitats,Coastal dunes and sandy shores ,Mediterranean and Black Sea sand beach,#80305a,N12 - Mediterranean and Black Sea sand beach
26,2103,"(128, 48, 90)",N,N1,N13,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic shifting coastal dune,#80305a,N13 - Atlantic and Baltic shifting coastal dune
27,2104,"(128, 48, 90)",N,N1,N14,Coastal habitats,Coastal dunes and sandy shores ,"Mediterranean, Macaronesian and Black Sea shifting coastal dune",#80305a,"N14 - Mediterranean, Macaronesian and Black Sea shifting coastal dune"
28,2105,"(211, 188, 38)",N,N1,N15,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic coastal dune grassland (grey dune),#d3bc26,N15 - Atlantic and Baltic coastal dune grassland (grey dune)
29,2106,"(211, 188, 38)",N,N1,N16,Coastal habitats,Coastal dunes and sandy shores ,Mediterranean and Macaronesian coastal dune grassland (grey dune),#d3bc26,N16 - Mediterranean and Macaronesian coastal dune grassland (grey dune)
30,2107,"(211, 188, 38)",N,N1,N17,Coastal habitats,Coastal dunes and sandy shores ,Black Sea coastal dune grassland (grey dune),#d3bc26,N17 - Black Sea coastal dune grassland (grey dune)
31,2108,"(54, 0, 0)",N,N1,N18,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic coastal Empetrum heath,#360000,N18 - Atlantic and Baltic coastal Empetrum heath
32,2109,"(54, 0, 0)",N,N1,N19,Coastal habitats,Coastal dunes and sandy shores ,Atlantic coastal Calluna and Ulex heath,#360000,N19 - Atlantic coastal Calluna and Ulex heath
33,2110,"(54, 0, 0)",N,N1,N1A,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic coastal dune scrub,#360000,N1A - Atlantic and Baltic coastal dune scrub
34,2111,"(54, 0, 0)",N,N1,N1B,Coastal habitats,Coastal dunes and sandy shores ,Mediterranean and Black Sea coastal dune scrub,#360000,N1B - Mediterranean and Black Sea coastal dune scrub
35,2112,"(54, 0, 0)",N,N1,N1C,Coastal habitats,Coastal dunes and sandy shores ,Macaronesian coastal dune scrub,#360000,N1C - Macaronesian coastal dune scrub
36,2113,"(23, 106, 13)",N,N1,N1D,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic broad-leaved coastal dune forest,#176a0d,N1D - Atlantic and Baltic broad-leaved coastal dune forest
37,2114,"(23, 106, 13)",N,N1,N1E,Coastal habitats,Coastal dunes and sandy shores ,Black Sea broad-leaved coastal dune forest,#176a0d,N1E - Black Sea broad-leaved coastal dune forest
38,2115,"(23, 106, 13)",N,N1,N1F,Coastal habitats,Coastal dunes and sandy shores ,Baltic coniferous coastal dune forest,#176a0d,N1F - Baltic coniferous coastal dune forest
39,2116,"(23, 106, 13)",N,N1,N1G,Coastal habitats,Coastal dunes and sandy shores ,Mediterranean coniferous coastal dune forest,#176a0d,N1G - Mediterranean coniferous coastal dune forest
40,2117,"(148, 220, 248)",N,N1,N1H,Coastal habitats,Coastal dunes and sandy shores ,Atlantic and Baltic moist and wet dune slack,#94dcf8,N1H - Atlantic and Baltic moist and wet dune slack
41,2119,"(148, 220, 248)",N,N1,N1J,Coastal habitats,Coastal dunes and sandy shores ,Mediterranean and Black Sea moist and wet dune slack,#94dcf8,N1J - Mediterranean and Black Sea moist and wet dune slack
42,2200,"(58, 34, 128)",N,N2,,Coastal habitats,Coastal shingle,,#3a2280,N2 - Coastal shingle
43,2201,"(58, 34, 128)",N,N2,N21,Coastal habitats,Coastal shingle,"Atlantic, Baltic and Arctic coastal shingle beach",#3a2280,"N21 - Atlantic, Baltic and Arctic coastal shingle beach"
44,2202,"(58, 34, 128)",N,N2,N22,Coastal habitats,Coastal shingle,Mediterranean and Black Sea coastal shingle beach,#3a2280,N22 - Mediterranean and Black Sea coastal shingle beach
45,2300,"(191, 32, 164)",N,N3,,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",,#bf20a4,"N3 - Rock cliffs, ledges and shores, including the supralittoral "
46,2301,"(191, 32, 164)",N,N3,N31,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",Atlantic and Baltic rocky sea cliff and shore,#bf20a4,N31 - Atlantic and Baltic rocky sea cliff and shore
47,2302,"(191, 32, 164)",N,N3,N32,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",Mediterranean and Black Sea rocky sea cliff and shore,#bf20a4,N32 - Mediterranean and Black Sea rocky sea cliff and shore
48,2303,"(191, 32, 164)",N,N3,N33,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",Macaronesian rocky sea cliff and shore,#bf20a4,N33 - Macaronesian rocky sea cliff and shore
49,2304,"(191, 32, 164)",N,N3,N34,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",Atlantic and Baltic soft sea cliff,#bf20a4,N34 - Atlantic and Baltic soft sea cliff
50,2305,"(191, 32, 164)",N,N3,N35,Coastal habitats,"Rock cliffs, ledges and shores, including the supralittoral ",Mediterranean and Black Sea soft sea cliff,#bf20a4,N35 - Mediterranean and Black Sea soft sea cliff
